,author,content,dt,title
201,fear_da_fro_bro,"This film is simply exceptional in every way. The edge it has is delivering the best, grittiest action the genre has ever scene and characters that are as complex as the are fun. Why do I say that? Well...What I love about the character is that Steve Rogers has ""I'm-a-man-out- of-time issues"" but he's comfortable with the chaos that it brings. In acclimating himself to this century he is at his best. Yes, most people would be overwhelmed but because of who he is and where he's from, he's able to cope and adapt. The serum that gives him his physical edge also gives him a mental boost. It's his emotions that are raw and unaided. Time has passed since Avengers so we don't get to see his day to day amazement and adjustment. I'm glad they skipped that stuff. What we do see is the man who once represented America and has become alien to America and it's slanted values. The passage of time. Add those struggles to a full blown conspiracy film and what results might just be the best film released all year long.Steve Rogers is basically a John Wayne American. The world shifts to him and it's his job to tell everybody ""Here's they way things should be done."" We saw that in Avengers and even the first film after he gathered his Howling Commandos. Now, the powers that be are a lot more flexible in terms of loyalties and how they're going to get certain jobs done. How he handles this century's gray morality is at the heart of the film.Like most men from the 1940's, Steve keeps things to himself and keeps his emotions bottled up. (EX: the first film when he mentions his mother dying of TB and he was even embarrassed when Peggy found him mourning alone for Bucky) So, bringing The Black Widow in to this film gives him someone who is going to draw out his story, because he's never going to offer it up of his own accord. Natasha learns from him. Fury learns from him. Sam Wilson learns from him. Yet, they all give him something in return. Every character used is utilized perfectly and smartly. Falcon for example, is not in awe of the legend of Captain America. This is exactly what Steve wants in a friend and in a fellow soldier, to not have to be Captain America. Everyone fits perfectly in to the plot and allows access to different beats, tones and emotional depth. Yes, conspiracy thrillers need depth and this one has it.Captain America is probably the only superhero left in this world of the reboot who is singularly heroic. He doesn't have this dark existential quandary like other reinventions. Plugging that resolute goodness into a morally complex story means he doesn't question what he believes, but he questions whether anybody else does anymore. He doesn't question his foundation but he questions where he has ended up and what his role must now be. The conspiracy element and structure of this story helps in that Captain America is not up on a pedestal being self righteous, he's in a corner and that makes you want to root for the guy. He believes in what he's doing and the viewer is along for a great ride sharing that belief.Marvel movies usually establish character early. This one starts out fast but it's got a lot of character in it. The first act packs a punch but does it laying the groundwork for a remarkable third act. They take time showing the issues and you immediately empathize with Steve. Giving us good character depth means the action delivers more punch. And the action here is beyond great. This movie absolutely punches you in the face in the best way possible. The action has advanced a lot from the first film. How he now operates in the world and kicks butt is all very impressive.So, this is probably Marvel's grittiest movie and it's also their best sequel to date. There's a dash of humor but there's mostly a wonderful thriller, conspiracy and adventure that delivers a great great film.",21 March 2014," A wonderful thriller, conspiracy and adventure that delivers a great great film
"
202,Sahl_95,"Went into the movie not expecting much as I felt that the first Captain America was one of the weaker movies in Phase one of the Avengers. However, this movie was one of the best of the Marvel Cinematic Universe.First off, the action and fight scenes in the movie are just awesome and there is plenty of action to keep you entertained throughout the entire movie. There is also enough humour to balance all this. The characters all had their own amazing moments and the acting is decent as well. You get to see more of Nick Fury, and he was awesome in this. Black Widow is used much more in this movie and as well as being badass, she brings out more of the Captain's story. Sam Wilson (the Falcon) is great and is involved in some great action scenes. The villains in this movie were awesome as well.Quite enjoyed the story as well. There were a few twists; some unexpected, some expected. And the reveal of the unexpected twists in the final third were epic. The story is not just about Captain America and the Winter Soldier, there are darker forces at play and causes the Captain to ask dangerous questions.This movie is very entertaining, the story is decent, the ending is awesome and satisfying and I would recommend watching this. Makes for a decent political thriller as well. This will easily be one of my favourite movies.",25 March 2014," Pure Awesomeness
"
203,doomas10,"Now ""The winter soldier"" is everything a Captain America movie should be. While it maintains some of the humour that now has become the trademark of Marvel films, TWS is way more serious than all of them combined. And this is truly where the film feels so brave and yes different than any other superhero flicks that we have seen. Which brings me to the most important point, the plot. While of course it is not going to be the most original or complicated film of the century, there is the basic screen writing elements that so much lack from modern day blockbusters. You have the (likable) characters and a mystery they need to solve along with a racing clock. It reminded me the 70's political paranoia thrillers (3 days of the Condor - another Redford link, The parallax view, Z) and it is a welcome tone that makes the WS to differentiate itself from the rest. There are strong scenes regarding political fear, control, and information manipulation but it never feels bloated or overbearing. the purpose is to entertain even if it manages to squeeze through a bit of political views with Rogers replacing the viewer's voice on screen. At one point there is a talk about who is who which results in every man for himself mayhem in one of the most interesting sequences that you may see this year. We do not get this stuff these days!Besides the charged plot, the introduction of new characters and the mega mayhem in the streets of Washingthon DC, the Russos have found time (and they should bloody do since TWS is 2 and a half hours long!) to inject some sentiments in the proceedings - a visit to Peggy, a confrontation with Fury regarding SHIELDs actions, Bucky's memory recall, Natasha's kissing talk. They could have easily skip these ""crap"" but instead the extra running time feels adjusted and coherent with a bit of more characterization which results to bring us closer to the on screen counterparts. However, the action is what took me by surprise. The bar has been set higher now. It is truly unbelievable to think that these two directors (of the ""Community"" fame) came with such inventive ways of using Cap's shield. Finally, the shield gets to be seen in all of its glory. In addition, all the fist fights (and they are many) are excellent examples and putting the glasses to the school of frantic edit (which I truly despise) with varied and rapid choreography. A terrific elevator fight sequence probably stands out as truly memorable whereas the encounters with the Winter Soldier never feel repetitive. The Russo brothers keep changing the game from stealth and cloak missions, to car chases, to gun fires, to dog fights, to fist fights. There is something for everyone here and it is arguably among the finest I have seen. Impressive considering their credits. Real stunt work (backflips, wrestle moves, somersaults, etc), real fights and it is a pleasing sight to go away from superhero duels of the Avengers, Thor and Iron man. These characters rely on instincts and bullets. No more and no less and most of them do have some brutal moments for a PG-13 film (and blood too).The actors are absolutely brilliant in their roles. While Evans came out as a bit arrogant in the ""Avengers"" and the least interesting character, here he truly shines. First time ever, I actually bought what he was bringing on the table. This is a soldier who believed in protecting the people and their freedom. Here though, in the modern era of espionage with multiple intrigues and political events, he finds himself unable to identify which side he is on and for what. At one point he even considers himself Fury's caretaker of terrorist ""problems"". The other side of the coin is Samuel Jackson's Nick Fury and Robert Redford's Alexander Pierce. It is nice to see Jackson expanding his role from 1 minute cameo in ""Iron Man"" to a fully supporting actor here. But the real standout is Robert Redford. Kevin Feige (the producer) probably knows how to do casting because so far there has not been a single acting mistake. Bringing heavy-acting-weight Redford to a superhero film is actually a bold move and while most movies do not focus on the talented cast, here the Russo brothers give Redford plenty of close ups and necessary gravitational dialogue that kept surprised me for a ""summer"" and ""mindless"" blockbuster. Antony Mackie plays Falcon believably enough and it is very good to see a great supporting turn instead of being the comedic sidekick. The winter soldier now himself is as you would have expected? probably the best villain outside Loki(!) in the marvel films. A truly unstoppable and cool killing machine that shows no remorse or regret considering his complete disregard (and destructive) actions throughout the film. Shaw manages to bring a bit of menace to a generally light hearted series of fantasy films as he has to act more with his eyes rather than sharing any scenes of actual dialogue. Is it perfect? Of course not but it does not feel that it is drugging forever or raising any boring flags. There is plenty of plot, intelligence and sweet characters moments to keep anyone satisfying. This is blockbuster at its finest, a superhero film with heart, immersive action and subtle touches of humour. Totally recommended.",27 March 2014," Brilliant film!
"
204,bobochildrunningwild,"I'd have to rate Captain America The Winter Soldier as one of the best comic book movies ever made. It is as close to a perfect movie as you can get. Superman has generally held the title as most fondly remembered or nostalgic superhero film even though it has some campy flaws. Spider- Man has generally held the title as most beloved superhero film because of the character. Iron Man has generally held the most grounded and well liked superhero film. The Avengers has generally held the title as most highly rated and best film the genre has seen. Well, Captain America TWS can compete with them all in every category. It is IMO near perfect on every level. It's smart, intense, well acted, fun and superbly done.The first film delivers a lot of action, a tantalizing and beautiful love interest, many humorous moments, powerful messages about internal fortitude and courage, a classic villain, fine acting and many of the basic essentials of any good action movie. This sequel adds an intriguing plot and does everything the first film did but does it BETTER. Including, incredible stunts, unbelievable feats and, not to be rude, but a climax that plays out like a multiple orgasm. The finish features one wave after another of edge of your seat moments. As fantastic of a movie that's ever been made in the genre and I'm not exaggerating one bit.",30 March 2014," It's smart, intense, well acted and superbly done. AMAZING FILM!
"
205,TBJCSKCNRRQTreviews,"When Fury(L. Jackson, tough as usual, for him and these) is attacked by an unknown enemy, the Captain(Evans, will of steel, heart of gold) and Black Widow(Johansson, sultry and devious – this uses her right, finally) find themselves(they have a great chemistry, with a charming running gag of her wanting to pair him up with a girl, going through a list of ones they both know; and with his straightforward nature, and her relative lack of integrity, they both affect the other towards them, benefiting both) with no one else to trust, except perhaps the veteran Falcon(Mackie, amiable), as they uncover a genuinely devastating truth, while on the run from a considerable force – including the elusive assassin, The Winter Soldier(Stan, terrifying, pure awesome pretty much every second he's on screen).This is just short of the level of The Avengers. It uses the strong continuity of the cinematic Marvel(as in, their own studio) universe better than any of the others, and does justice to many different elements, most of them set up prior to this. Events occur in this that will have serious consequences for future entries. The plot-driven nature and approach of a 70's political thriller(where some characters, all credible and with something to do, happen to wear a flag or the like) in a contemporary setting and with biting satire(on foreign policy, something not entirely new to these, but never before this sharp commenting on mass surveillance and executions taking place before any trial against the (supposed) perpetrator) is spot-on. From a 40's war flick, with heroism and defined lines between good and evil, to the modern method of taking on the opposition – with spying, and questionable tactics(compared to one army versus another).The action all comes about naturally, it's personal, hard-hitting and, on account of next to no CGI, it's ""real"". Each intense set-piece is varied(fighting, shooting, chasing both on foot and vehicular), you will remember them, and except for one bit, they feel fresh and original. Among the very few weaknesses are that Sharon(VanCamp, another compelling and strong woman) has nothing to do in this, appearing as if her important scenes were cut, and/or that she was setup for the next one. She is the only one that that goes for, a pleasant surprise considering the seemingly bloated cast of characters. This explores S.H.I.E.L.D., and how the iconic super soldier fits into it or, whether or not he does, at all. The 3D is unobtrusive, adding depth and atmosphere, similar to Avatar.There is violence and disturbing content in this. I recommend this to any fan of, well, blockbusters. 10/10",27 March 2014," The most exciting this franchise has been in years
"
206,devanshsharma50,"This movie Rocks!!!!!! At first, I wasn't very confident about watching a captain America movie because he looked kind of old-school. But when I watched this movie - BOOM !!!!!!! This movie blew my mind.... It is really AWESOME!!! There are many sequences that will make you jump up in your seats. And though I have not included any spoilers, I would like to recommend you to stay after the credits for two amazing scenes, now this is hardly a spoiler as everyone knows marvel always treats the audience with surprising after credits scenes. I shall say no more here. Marvel has done an excellent job on this movie.Chris Evans has done some excellent work as Captain America. But Scarlett Johansson as Black widow steals the movie. Her character is evergreen as usual.Others to look forward to are Sebastian Stan as the winter soldier and Anthony Mackie as The Falcon.I highly recommend this movie. Guys, this movie is really worth your bucks. Moreover, the movie runs for over 136 mins, but never at a single moment during the movie you feel bored. And the ending of the movie leaves you craving for more and more.The climax is terrific. I haven't seen such an awesome climax of a movie since the Avengers. So guys, go for this movie.... take your kids with you. They'll love it. It is a perfect start of summer blockbuster and one of the best movies of the year without doubt..",22 March 2014," When Captain America throws his mighty Shield !!!!!!!
"
207,vicvonfate,"This film finds Captain America still adjusting to the modern day, while working under the increasingly morally ambiguous government agency S.H.I.E.L.D. The set up is masterfully done. This is the third time we've seen the character and it's by far the most complex. The Avengers film touched bit with his feelings of what it was like to be in the modern era, but besides the deleted scenes, they had no time to dive in to the subject matter in that movie. That's not the case here. This is a wonderful character study to go along with a purely thrilling plot. This was exactly the perfect vehicle to deliver the film the character deserves at this time. What makes Steve/cap interesting isn't his abilities but the man himself. The ""man out of time"" to be exact. He must come to terms with a past that is long gone and a longing for a better more decent era. Dealing with the shades of grey of the modern era and being part of an organization like S.H.I.E.L.D. is taking its toll on a member of ""the greatest generation."" As he's finding his way, his past comes back and explodes all throughout his new life.Enter The Winter Soldier, who is an amoral assassin and an agent of shady government rogues. Saying any more about what is an ultimately cool character would be a spoiler. Fans of the books know who he is and what he's about but movie fans need to find their own way. I really enjoyed the origin and First Avenger but this movie is darker than the original film. It has a whole new flavor and that;s exactly what was needed. The 1940's romance and even the ""Raiders of the Lost Ark"" tone fit the first film quite nicely but would have been out of place in this story. Just like Cap, adaptation is a key. Steve is still an unquestioning patriot but he shifts from being an unquestioning soldier. This is where his old-fashioned values pay off. Questioning what is wrong and questioning what is morally cloudy is a test of true character. That is exactly why the character of Steve Rogers is so interesting. He's so much more than a super soldier boy scout. There's depth, angst and pathos to the max. He is out-of-place and he is old- fashioned but proud of that in a way. He also is an enhanced thinker so it's not like modern era gadgets confound him. It's all played just right. The story itself is a good old fashion action thriller with a ton of intrigue. Honestly, I didn't expect it to be this clever. Everything about this movie is a joy to watch. Tha cast is perfect and everyone is used exceptionally well. This could be the best sequel the genre has seen. It's Marvel's best sequel for sure.",31 March 2014," Superb. This could be the best sequel the genre has seen.
"
208,saskikana,"This movie was absolutely great in my opinion; it might even be my favourite Marvel movie at this moment. The beginning already sets a bit of a mood for this movie. We see Steve Rogers, aka Captain America, and he is starting to get used to this world, the 21st century. He is a charming and a bit quirky guy. Especially the relationship between him and Natasha Romanoff, aka the Black Widow, is absolutely amazing! She is a strong female character and that is so great to see in a superhero movie. The movie soon turns into a conspiracy spy movie esque setting, we see old characters returning. Basically: S**t just goes down. At some point there was a bit too much action in my opinion. Not overwhelmingly much so as it distracts you, but still, a teensy bit too much. The soundtrack is great though, the characters are amazing; it is just a pleasure to watch it. No spoilers here, so just go and watch it.",31 March 2014," Great movie
"
209,nathansmithba,"Saw the film today, my intention was to see 300 but no showings during the day in 3D so opted for Captain America, with some reluctance I might add. The original was OK but with so many comic book hero movie releases I thought this would just be another instalment of, keep the characters in public consciousness until we finally created a great movie ( latest wolverine an example of this).This film re-writes the genre and takes cinema to a new level. Absolutely stunning visuals, compelling script and great performances especially from Redford - screen stealer every time.I will not divulge the story because many reviews do this aptly so no need for me.I was absolutely blown away and remember thinking throughout the film - i want more of this - up until the end when I was generally sorry to be leaving the cinema. This films grabs hold of you from the start, never lets you go or interest wain and throws you out at the end as if you have just experienced the cinematic equivalent of a fair ground ride.Go, it will not disappoint.",26 March 2014," Big, Bold, Exciting - a true triumph
"
210,tr91,"Wow, this film absolutely blew me away. The plot is good and the action scenes are just breathtaking. It is basically 2 hours of non stop action. Fighting, flying, explosions, shooting, it has everything.Chris Evans is just great as Captain America. The costumes look brilliant every single fight scene had me on the edge of my seat. Captain America pretty much destroys everyone who stands in his path. Scarlett Johansson as Black Widow is absolutely incredible as well, she needs her own movie! I can't recommend this highly enough. I think even those who are not fans of this genre may like it purely for the action. I'm a huge fan of Marvel movies and this is definitely one of the best ones.Without giving too much away, just go and watch it and be prepared to be blown away. Literally.9.5/10",31 July 2014," Just brilliant! Cap will blow you away.
"
211,roshankmr916,"This movie has got everything. Unlike other marvel movies this seems to be different. Contain everything- action, thriller, suspense. Worth watching. Why does Indians not make movie like this. They should learn from this that how stupid they are. The whole logic was awesome. It has thrived me from inside. I am going to watch it once more as the movie was dubbed in Hindi which has irritated me. The Hollywood should not release such movies in India in Hindi dubbed as it loses all the charms. My rating to this one is 10. I am now desperate to watch spider-man. Please marvel make sure to rock me again. I am going to watch this movie again.",5 April 2014," awesome action movie ever made
"
212,OrangeFlamingo,"The first thing I said to my boyfriend when the movie ended is ""I'm almost positive this is going to make the top 250."" And the first thing I did when I left the theater was look it up, and there it was, the rating of 8.3 making it (unofficially) in the top 250.Do not be put off by The First Avenger, for Winter Soldier blows it out of the water. It's riveting from start to finish. Both old and new characters alike are woven perfectly into the film, some we never even considered twice. There's just the right amount of dialogue between action scenes to entice you, but not bore you. And fear not, the action is plentiful, exciting, and executed wonderfully. Very satisfying. I wish I had to more to say about this, but I really don't what else TO say other than that this movie is fabulous. And in my opinion, this is the sexiest and most bad-ass Scarlett Johansson has been in any of the Marvel movies. I thought she was trying a bit too hard in the other ones to be mysterious but knowledgeable while still trying to be sexy, but couldn't quite get it and came off a bit dull and uninteresting. But as far as Winter Soldier goes, Natasha Romanoff definitely just became my woman crush. This movie is a must see, if not a must own.",4 April 2014," I can't think of a word good enough to describe this
"
213,chehoelau,"This movie brings out the best in Marvel's Cinematic Universe. Every character from Steve Rogers to Agent Maria has their own development. The storyline is exceptionally well crafted to a fulfilling and satisfying ending. The CGI is impeccable as well (and I thought the CGI in Iron Man 3 was already good!). Winter Soldier has many action sequences as well and I'm sure this will please many die hard Marvel fans. There were many humors as well, albeit they are somewhat mild, but the combined effect of the right placement of humor is extremely gratifying.The acting of Chris Evans and Scarlett are amazing too. Love seeing both of them together as they always bring out the funniest moment of the movie. Sebastian Stan is a good choice for villain for he brings out the darkness of Winter Soldier and many hidden stories of himself.If you've watched The First Avenger, it's a no doubt that Winter Soldier is a must watch for you. In fact, it's a must watch for everyone, even those non-Marvel fans! Stay till after the credits have finished rolling for the post credits scene.",13 April 2014," Thrilling in every way
"
214,friendly_poison,"On a personal note, after Batman Begins, after The Avengers and after the evolution of the comic book movie from a cult audience pleaser to an award winning blockbuster, I thought to myself. Well where could it go from here.The answer is, here.From the first moment to the last breath, this film totally blew me away on a level I couldn't predict. With Iron Man and The Avengers itself getting most of the critical praise and fan support it was clear to me that Chris Evan's, Steve Rogers was in need of a boost, many fans also argued that ol' Cap got the least amount of treatment out of the Avengers. If this is so then I chock it up to him being the proverbial 'fish out of water' for that film.From that last statement I can go on to say that the 'fish out of water' thing is a central thing to this film as Steve Rogers fights to face his new place in the world, having been thrust from WWII into present day in the span of a heartbeat. And Chris Evans handles this pressure with excellence, Evans is loaded with a powerhouse performance throughout and aided by a stellar supporting cast including Scarlett Johansson's Black Widow, Anthony Mackie's Sam Wilson, Samuel L Jackson's Nick Fury, Cobie Smulder's Maria Hill, Robert Redford's Alexander Pierce, Frank Grillo's Brock Rumlow and Sebastian Stan's Winter Soldier.In stark contrast to the MCU (Marvel Cinematic Universe) films we have seen so far, this film can be truly accessible for 'semi' intense comic fans as well as the die hard as the films genre feels more along the lines of an epic action/political thriller than the spandex laden days of old.Trust me, you need to see this film man. The Russo Brothers have created the MCU equivalent of 'The Empire Strikes Back' here and it does not disappoint.If The Avengers left you on the edge of your seat, then The Winter Soldier will leave you hovering in the aisle!FP",10 April 2014," The greatest comic book film so far
"
215,remydunagan,"This movie was an excellent addition to the Marvel: Phase 2 collection. Effects were incredible, character development was great. We really get to see more of Cap and Widow's personalities that we didn't get to see in Avengers. I love, love, love, that we get to see some of our Marvel Heroines stepping up and kicking some ass. In this film we definitely get to see some of Natasha Romanoff and Maria Hill's skill in taking out the bad guys. I was on the edge of my seat the entire time, this film had me laughing, crying, and gasping out loud. Chris Evans gave a brilliant performance as Cap but the real stand out star was Sebastian Stan, he brought the Winter Soldier straight to life, like he jumped right out of the comics. It was a great surprise to see how much work Stan put into his portrayal of Bucky and it definitely showed on screen.",5 April 2014," Amazing, Keep it up Marvel
"
216,macromvontus,"This review is purposefully vague to avoid spoiling any major details, and that is going to be extremely difficult mainly because almost everything that happens in this film is plot important. So, let's just go with the barebones.The performances given by Chris Evans, Scarlett Johansson, and especially Samuel L. Jackson are damn near perfect.What else is damn near perfect is the way the film is structured. This is not a superhero movie. It is a SPY THRILLER with superheroes in it. Yes you read right. This is a conspiracy flick, and directors Anthony Russo and Joe Russo do not let the big name superheroes get in the way of the plot. The script is fantastic and... well... I actually can't find anything wrong with this movie.This has become one of my favorite marvel films. and it holds the potential to be yours too. I implore you to see this movie.",4 April 2014," Simply Outstanding
"
217,didonatope,"For more reviews, visit cinegrade.orgIn the past few months there have been many reasons to be excited for the sequel to 2011's ""Captain America: The First Avenger."" From Black Widow's promised prominence in the plot to the intrigue of how Captain America himself will adjust to the modern world, the hype for this movie has been overwhelming to say the least. On top of that were the glowing early reviews, some of which saying that ""Captain America: The Winter Soldier"" is even better than ""The Avengers."" I'm sure the question on everyone's minds is: ""does this live up to the hype?"" You bet.The sheer amount of suspense and political intrigue in ""Captain America: The Winter Soldier"" would make it a fine sequel on its own. However, not only does this film manage to surpass the excellent first installment, but in some ways surpass ""The Avengers.""Taking place after the events of 2012's ""The Avengers,"" Captain Steve Rogers (played by Chris Evans reprising his role) struggles to adapt to a world shrouded in fear and obsessed with security. Now working for the government organization S.H.I.E.L.D, Rogers faces the conflict of being ill-informed of his recruiters' ulterior motives and hidden agendas. The retro, simplistic era of the 1940s is far behind him, and Rogers must use his skills and wits to take down a possible conspiracy inside of S.H.I.E.L.D. Coming along for the ride are Black Widow (played reliably well by Scarlett Johansson) and newcomer The Falcon (played by Anthony Mackie of ""Pain and Gain""). Together they must take down a force none of them expected to face.Unlike previous Marvel films like ""The Avengers,"" and ""Thor,"" the plot of this movie is much more down-to-Earth. In today's world of NSA controversy and outright paranoia, many plot elements in this film give it a very modern and relevant feel. In many ways, this is a stark contrast to the retro, swashbuckling feel that the first ""Captain America"" gave off. This is a perfect way to tell the Captain's story; Steve Rogers has been thrust into the modern day against his will, and after the fantastical events of ""The Avengers,"" he is just now starting to be affected by today's mentality of security. It's indeed very interesting plot foundation for a superhero film.As well as being a fine continuation of the first film's story, the new elements that this film brings to the ""Captain America"" series are quite good enough for the film to stand on its own. Even those who didn't care for the first movie could get a kick out of them. Among the new characters is The Hawk, an ex-military superhero introduced in this film. This character is immensely likable, partly because of Anthony Mackie's fine performance, but mostly because they introduce him from the very beginning and flesh out his character.Also joining the cast is veteran actor Robert Redford as the sinister Alexander Pierce. Redford is the type of villain that is rather refreshing to see in a superhero film: villains unaided by superpowers or violence and who carry the story with wits and malice alone. He doesn't need a mech-suit or psychic abilities, but he is a fine menace for the First Avenger to go up against.In addition to the fine new characters, every action set piece in this movie is both exhilarating and an absolute thrill to watch. What makes them even better is that they are accompanies by a gripping story with plenty of shocking and even emotional twists and turns. Even after seeing aliens invade New York in ""The Avengers,"" this movie's more grounded approach to storytelling gives a sense that the stakes are higher than ever in the Marvel Universe. Fear not though, this movie is far from a dark one, and there is plenty of that good ole' Marvel humor to give some levity. I'm pretty sure that audiences won't be prepared for how intense the story alone is.It's not very common that audiences get an April movie that's not only great, but exceptional. ""Captain America: Winter Soldier"" is indeed a masterpiece, and as much of a bold statement as it seems, it is one of the best superhero movies I have ever seen. The amount of sheer quality it possesses makes it an absolute must-see.",4 April 2014," One of The Best
"
218,alucard_castlevania86,"This movie exceeded my expectations in a lot of ways. The plot was very interesting. I never would have guessed that the story turned out the way it did and thought that it was nothing more than just a Captain America v.s Winter Soldier battle. It definitely will make you question yourself about certain things in life such as friendship, loyalty and patriotism. The actors all were well cast too and got more screen time in this movie than they had in the Avengers which is a good thing. Chris Evans cements his his as title lead character Steve Rogers. He displays his tough brute strength and integrity here perfectly. Scarlet Johansson as Black Widow was great here in her own way but I just couldn't see her and Cap as a couple here. Samuel Jackson's Nick Fury was the surprise one here for me since I never expected him to do some serious action in the film. Anthony Mackie's Falcon and Cobie Smulder's Maria Hills was a little letdown for me here (again) since I expected them have a bigger impact role in the film but they still managed to do their parts perfectly.Its been a while since I've seen Robert Redford on screen and his Alexander Pierce's character was also great to watch. A surprising entry for me would have to Emily Van Camp's Sharon Carter/Agent 13 character. I never expected her to have an impact to the film and she never really looked like it at first either. However, I really would have preferred her and Rogers to have more screen time together instead but she still did a solid job but the biggest performance for me would have to be Sebastian Stan's Winter Soldier. The guy was an absolute terrifying and menacing opponent for Captain Rogers and really gave him a hard time. The shield was like nothing to him and if the fight between him and Rogers went on a little longer, I have a feeling that Rogers would definitely lose the fight Most of the their fight's choreography were neatly well done. Kudos to that and the part where he grabbed the shield with one hand after Cap threw it at him was personally one of my favorite moments in the movie. The sub-plot between them was really good and and heart warming to watch. I was relief by how it ended between them but it did leave me asking what would have it been like if things had ended differentlyThe combination of CGI and special effects techniques were verygood and the amount of action was just awesome and more entertaining to watch than The Avengers. There are also a lot of great lines in the film that and moments in the film and the friendship moments between Cap and Winter Soldier in was very heartwarming but also made me sad. You somehow want to feel sorry for Bucky since he doesn't know why he does the things that he does because its all about orders. This movie also had some of the best lines and some enjoyable but not too over the top humor in it. The OST was really patriotic, memorable and darkish to listen too but I liked it verymuchAll in all, congrats Marvel. This movie deserves my perfect score rating. It slightly surpasses The Avengers but definitely way better than Iron Man 3 for me. Can't wait for Captain America 3. Lets hope they will bring in Baron Zemo next",27 March 2014," Better Than The Avengers
"
219,bhgyfr,"I would like to start off this review by quickly speaking about a 2012, masterpiece film, Marvel's Avengers Assemble. It was HUGE! There isn't any film that I can think of that would be as big as it, excluding it's next two sequels. But Captain America: The Winter Soldier, although not being as big as the Avengers, in all honesty was better. Sure, you can ultimately disagree. Feel free to and do all you can to try and persuade me into changing my mind, and eventually saying ""Wait! Yeah, I was wrong, Avengers is still better, and I was stupid to think otherwise..."" - ain't happening. Captain America: The Winter Soldier, although not being as hyped up for, and as big as the Avengers, in my opinion, was slightly better, if not quite a far bit better. It's by far my favourite Marvel film so far (alongside X-Men: First Class). Let me tell you this- genuinely, it's more interesting to watch, has better action-scenes, has better dialogue all-round, has better weaponry, has better characters (and they're developed quite beautifully may I add), and above all else, has better directing. Chris Evans returning in his recurring role as Captain. Steven Grant Rogers, the ultimate super-soldier who is upfront against James ""Bucky"" Barnes (a former friend of his who becomes a super-assassin and hardly even recognises or acknowledges Steve for who he is). The film is literally full of action-packed, thrilling scenes, intense scenes, incredible visual effects, superb and interesting dialogue and much more. Seriously, this is the Captain America film, and more importantly, Marvel film you've all been waiting for. It really, really is. Recommended to all fans who have yet to make their minds up whether they wish to see it or not.",20 July 2014," Best Comic Movie Ever
"
220,samadabbasi,"No spoilers ahead. So, I went to see The Winter Soldier, today, and I loved it.It was amazing.Well, Marvel movies are always good but this is best of its kind.I didn't much like Captain America The First Avenger but this is absolutely worth watching and is a great Action-Thrilling movie.There were so many great scenes, acting was great and story was perfect. It is not just a superhero movie.So, don't wait just go and enjoy it.I highly recommend it to all of the people out there who are confused about what movie they should watch this weekend. P.S don't just walk out of there at credits..Do not miss Post-Credit Scenes.Thanks and have a good day.",24 April 2014," Wow
"
221,bluesman-20,Captain America:The Winter Soldier starts the new marvel era off with a lot of action. Winter Soldier takes the classic Nick Fury VS S.H.I.E.L.D story from the 80's and gives it a good sharp twist and makes it a Captain America Story. But one that travels the Marvel universe. S.H.I.E.L.D has been infiltrated by HYDRA. the entire organization has been taken over and on the eve of SHIELD'S biggest plan for world security . they plan to launch three helicarrier drones. Each Drone has the firepower to decimate a country. When a tense conversation with Captain America leaves Nick Fury thinking he tries to go into his files to find out more. Only to find out someone has blocked all access. Fury is targeted for termination. When he very narrowly escapes an attempt on his life he goes to the apartment of Steve Rogers. And asks for Captain America'a help. Fury is attacked in cap's apartment by a shadowy assassin called the Winter Soldier. He's as fast as Captain America and as strong with one cybernetic arm. And the Soldier is totally ruthless. As Fury lies dying in Cap's apartment he gives him a flash drive containing all of SHIELD'S secrets and tells him to trust no one. Cap takes Fury to the Hospital and contacts the Black Widow who was close to Fury. As the two heroes watch over Fury. Cap is ordered to SHIELD just as Fury dies. Steve hides the flash drive and goes over to see SHIELD'S Director Alexander Pierce. It is here Steve learns of how far Hydra's reach is. Steve is questioned by Pierce. When Pierce isn't satisfied with the answers to His questions he orders Steve Rogers killed.. Steve fights his way out of SHIELD. With only the Widow for help Steve must find out the answer to what Hydra is up to And to stop it. He also must confront the Winter Soldier again. Steve and the Widow recruit Sam Wilson a highly skilled former soldier code named the Falcon for good reasons. As Cap gets closer to the truth. And as he assembles his allies to take out SHIELD. He finds out the sinister truth about Who the Winter Soldier is.CAPTAIN America : THE WINTER SOLDIER . is a fine action story that puts super heroes into a world best occupied by James Bond. and makes it work. Stay for the after credit scenes. And you'll find out just how far the ripples of this film go. A high degree of writing and skillful direction moves this film above the rest of the marvel films. Add in some fine acting and you got a great popcorn film. the Only Drawback to me was Robert Redford. While Redford is great as Pierce. It seems as if they ran out of things for him to do in this film. which is a shame. Redford adds a lot of class to this production. And he underacts to his credit which gives his scenes with Samuel L. Jackson's Fury a bigger and better dimension. After All His Pierce isn't a screaming Villain from the old cliffhangers who rub their hands and cackle in evil delight. He's a man of this age and this century who knows how to do things skillfully and hide them in plain view. All in All Winter Soldier is the best Marvel film released thus far. And that's saying something.,21 April 2014," Captain America VS S.H.I.E.L.D.
"
